pitcher_id,season,pitcher_name,pitch_count,composure_plus,adversity_composure_plus,momentum_composure_plus,composure_score,adversity_score,momentum_score,walk_after_barrel,walk_after_hard_hit,walk_after_high_xba,first_ball_after_barrel,first_ball_after_hard_hit,first_ball_after_high_xba,walk_after_walk,hard_hit_after_walk,walk_after_soft_hit,walk_after_low_xba,first_ball_after_soft_hit,first_ball_after_low_xba,hard_hit_after_soft,ball_after_foul
656457,2021,"gilbert, tyler",600,109.2,109.4,106.4,0.425521049780279,0.4485681030393551,0.40247399652120286,0.0816173316173316,0.07939812114741007,0.07610144436708464,0.40293865293865294,0.48443112518804976,0.4302453694350006,0.07243651803311917,0.11692256813593316,0.06570968280450348,0.09258436811686402,0.41044816627594605,0.3538949672210186,0.12075776243572056,0.3636439947375926
519293,2021,"smith, will",1087,109.2,110.8,105.2,0.30479041427011827,0.3649269932919477,0.2446538352482888,0.07533907533907533,0.1082322415168619,0.08409249339351836,0.35271260271260274,0.3743864279731681,0.3628707780142652,0.09734608413786529,0.15934955886394914,0.0775993806880839,0.0868857297668792,0.3678386071613689,0.3939381698277636,0.20974113260115795,0.3782611615187316
606149,2021,"gallegos, giovanny",1244,109.1,116.8,100.4,0.28367269466662326,0.5143949299599374,0.0529504593733091,0.07122967122967122,0.06506234927357214,0.10155644145735854,0.3334737334737335,0.3691866164735408,0.377305432960132,0.11147696731916831,0.13409384966678048,0.12070084387207125,0.05192485784583236,0.5041916937534914,0.39920844833223434,0.13704041399002456,0.36997529156650655
608648,2021,"duffey, tyler",1054,109.0,103.9,110.4,0.30454181947750136,0.15599112148458585,0.45309251747041684,0.0816173316173316,0.09976849474174916,0.08409249339351836,0.40293865293865294,0.42658860277753635,0.46581195448485346,0.0895692723301278,0.11081543453546046,0.054060800051176965,0.10448913002162592,0.34242295469240136,0.36579972912578046,0.13469135040907293,0.37997073370013396
608371,2021,"sims, lucas",827,109.0,99.6,113.7,0.34362964693928005,0.02660215252597405,0.660657141352586,0.09110771901469575,0.07085556053263835,0.11786472896068857,0.40328035676872886,0.3957968535787488,0.3802668930696497,0.10192365472049027,0.16058308067828259,0.09433650201296474,0.06295144869694295,0.29031360086284064,0.295452954109426,0.156940200417094,0.35280775590879204
455119,2021,"martin, chris",664,109.0,103.0,111.1,0.3890592818131202,0.16303265334081438,0.615085910285426,0.11176436176436176,0.08882014293276866,0.09076650080570235,0.3713876213876214,0.35283494353273337,0.35992401436460375,0.08149108278725907,0.17320455581959146,0.05622323205322404,0.0813674214340363,0.35611987288009744,0.34827010206430364,0.24007900442543587,0.2986301281347127
502706,2021,"holland, derek",839,108.9,121.2,96.5,0.3368220105852572,0.7793440346198378,-0.10570001344932349,0.07995167178840647,0.09284012705134992,0.08168985072513212,0.33349092532766,0.3136310609179852,0.3096458986424291,0.08324698260658364,0.12396302846339645,0.12204940004158128,0.10448913002162592,0.2938436506875761,0.306275919601971,0.10943672220737176,0.3834786129831975
608331,2021,"fried, max",2558,108.9,98.4,114.6,0.21441366136011533,-0.01003694405396314,0.4388642667741938,0.1311416458475282,0.09832937323796274,0.09374631640607399,0.416780225603755,0.3610964060937592,0.3894017032397603,0.05581331788395949,0.11720248499250442,0.09479024690268517,0.07277940667370768,0.3292152805933247,0.3555316947541301,0.11006674747019997,0.3699468798820971
506433,2021,"darvish, yu",2773,108.9,96.9,115.7,0.2089962314853263,-0.041627632240010974,0.4596200952106636,0.11733726207410418,0.08570344378493092,0.09930753856575635,0.3992244123823071,0.3502781981070348,0.3701289229234749,0.09093760889411995,0.1415381457395447,0.09139399770324393,0.07345903686701066,0.3514797320462709,0.32118668283704777,0.14453150416920113,0.33814385819599185
664192,2021,"lucchesi, joey",646,108.6,113.1,102.5,0.379932844273825,0.5753793747091288,0.1844863138385212,0.07995167178840647,0.05757014293276866,0.06302185679252964,0.3743072518582723,0.36845994353273337,0.40127479499949215,0.11591317595663599,0.16301605253608606,0.07190870948417362,0.11271140466400836,0.3170942196982051,0.3148866267618197,0.22648962681644894,0.3643041387117942
